Point_ID;City;Address;Postal_code
1;Suwa³ki;Kolejowa 42/36;79-673
2;Poznañ;Warszawska 72/60;96-322
3;I³awa;Pilna 231/12;14-881
4;Lubin;Lubelska 246/89;93-556
5;Suwa³ki;Morska 155/38;62-617
6;Poznañ;Pañska 282/47;61-362
7;Lublin;Morska 40/92;91-623
8;Lublin;Lubelska 41/35;29-284
9;Suwa³ki;Ró¿ana 99/24;96-144
10;Malbork;Czarna 134/63;78-158
11;Bydgoszcz;Pañska 209/41;19-711
12;Kielce;Czarna 44/67;34-383
13;Lublin;Morska 127/94;30-405
14;Gdynia;Pañska 53/80;31-239
15;Rzeszów;Warszawska 275/90;78-640
16;Gdynia;Œl¹ska 191/6;26-269
17;I³awa;Poznañska 52/55;44-307
18;Bydgoszcz;Warszawska 251/18;46-743
19;Gdynia;Dêbowa 36/24;67-489
20;Suwa³ki;Œl¹ska 97/18;89-610
21;Szczecin;Hodowlana 194/76;24-404
22;I³awa;Warszawska 166/99;91-776
23;Toruñ;Poznañska 222/28;82-607
24;Gdynia;Kolejowa 39/42;37-454
25;Olsztyn;Hodowlana 277/14;69-314
26;Gdynia;Morska 203/39;73-331
27;Zakopane;D³uga 160/16;45-249
28;Zakopane;Kolejowa 67/23;16-485
29;Opole;Gradientowa 7/43;96-397
30;Zakopane;Hodowlana 58/22;65-100
31;Malbork;Poznañska 154/8;76-492
32;Warszawa;Hodowlana 102/37;96-226
33;Gdynia;Morska 83/24;58-393
34;Zakopane;Kolejowa 12/13;48-461
35;Malbork;Czarna 254/28;90-275
36;Opole;Ró¿ana 292/39;72-378
37;Kielce;Hodowlana 232/19;71-405
38;Malbork;Gradientowa 256/51;68-425
39;Olsztyn;Warszawska 216/29;18-246
40;Kraków;Pilna 237/96;90-344
41;Zakopane;Hodowlana 126/3;43-340
42;Lubin;Czarna 261/81;35-343
43;Toruñ;Dêbowa 151/23;29-553
44;Lublin;Dêbowa 221/14;77-735
45;Szczecin;Œl¹ska 281/35;86-139
46;£ódŸ;Ró¿ana 134/88;82-455
47;Gdañsk;Poznañska 112/63;11-321
48;Gdynia;Bawe³niana 144/63;90-829
49;Szczecin;Hodowlana 62/63;64-911
50;Gdañsk;Gradientowa 82/67;83-921
51;Toruñ;D³uga 128/87;50-389
52;Lubin;Poznañska 10/80;39-949
53;£ódŸ;Morska 194/9;79-768
54;£ódŸ;Pañska 59/75;82-538
55;Opole;Dêbowa 248/42;81-221
56;Olsztyn;Morska 207/52;42-277
57;Warszawa;Poznañska 63/36;86-190
58;Rzeszów;Hodowlana 115/74;37-576
59;Kielce;Warszawska 0/5;33-344
60;Bydgoszcz;Gradientowa 151/9;83-749
61;Lubin;Ró¿ana 280/19;91-808
62;Poznañ;Morska 39/51;55-142
63;Gdynia;Poznañska 208/83;20-369
64;Kraków;Morska 188/86;62-884
65;£ódŸ;Kolejowa 208/56;54-882
66;Poznañ;Bawe³niana 188/52;57-756
67;Kielce;Ró¿ana 183/86;50-407
68;I³awa;Gradientowa 92/73;33-715
69;Olsztyn;Gradientowa 79/10;89-321
70;£ódŸ;Warszawska 154/13;55-420
71;Olsztyn;Gradientowa 226/73;66-401
72;I³awa;Œl¹ska 27/1;47-187
73;Lubin;Œl¹ska 17/80;48-548
74;Warszawa;Dêbowa 219/30;59-334
75;£ódŸ;Gradientowa 168/42;75-928
76;Zakopane;Œl¹ska 237/56;96-590
77;Olsztyn;Lubelska 104/93;11-578
78;Zakopane;Pilna 202/82;94-719
79;Toruñ;Warszawska 114/51;57-531
80;Olsztyn;Pilna 257/97;98-990
81;Toruñ;Warszawska 244/45;77-394
82;Lublin;Pañska 295/3;66-389
83;Suwa³ki;Kolejowa 72/65;78-110
84;Warszawa;Hodowlana 293/44;76-202
85;Wroc³aw;Gradientowa 276/82;96-469
86;Bydgoszcz;Ró¿ana 230/15;20-429
87;Gdañsk;Czarna 150/73;72-969
88;Olsztyn;Hodowlana 245/16;25-267
89;Kraków;D³uga 23/52;49-635
90;Gdañsk;Dêbowa 69/40;48-153
91;Rzeszów;Pañska 69/97;72-729
92;I³awa;Kolejowa 279/32;75-454
93;I³awa;Gradientowa 101/42;91-839
94;£ódŸ;Gradientowa 237/60;93-380
95;I³awa;Warszawska 75/88;34-525
96;Gdañsk;D³uga 108/59;82-111
97;Malbork;Lubelska 34/42;60-792
98;Zakopane;Bawe³niana 198/53;47-409
99;Gdañsk;Poznañska 299/49;43-281
100;Lublin;Ró¿ana 198/8;61-508
